fecha_venta,año,mes,trimestre,dia_semana,dia_mes,categoria_principal,subcategoria,precio_unitario,cantidad,descuento_porcentaje,precio_con_descuento,ventas_brutas,costo_producto,ganancia_neta,margen_ganancia,region,ciudad,canal_venta,segmento_cliente,metodo_pago,cliente_nuevo,edad_cliente,satisfaccion_cliente,tiempo_entrega_dias,rating_producto,numero_reviews,visitas_web_previas,productos_en_carrito,tiempo_sesion_minutos,clicks_anuncios,veces_visitado_producto,transaction_id
2022-02-23,2022,2,1,3,23,Electrónicos,Auriculares,5285.57,4,22.29,4107.55,16430.19,14799.59,1630.61,9.92,Noreste,Tijuana,Telefónico,Estudiante,PayPal,False,29.0,4.8,7.1,4.4,10,21,4,70.3,2,6,TXN000016
2023-01-25,2023,1,1,3,25,Salud y Belleza,Cuidado Personal,905.73,2,10.28,812.66,1625.33,543.44,1081.89,66.56,Centro,Guadalajara,Catálogo,Nuevo,PayPal,False,18.0,4.0,1.3,6.0,10,16,2,51.4,5,7,TXN000017
2022-03-24,2022,3,1,4,24,Salud y Belleza,Cuidado Personal,179.88,3,8.75,164.15,492.44,161.9,330.54,67.12,Este,Juárez,Catálogo,Regular,PayPal,False,18.0,2.8,6.2,4.0,7,16,1,27.2,2,2,TXN000018
2023-10-15,2023,10,4,7,15,Electrónicos,Smartphones,3662.47,4,70.16,1092.87,4371.48,10254.91,-5883.43,-134.59,Oeste,Puebla,Tienda Física,Premium,Efectivo,False,18.0,4.9,3.7,2.1,11,11,6,40.9,5,3,TXN000019
2020-11-25,2020,11,4,3,25,Automóviles,Accesorios,1274.49,5,4.94,1211.58,6057.88,4142.1,1915.79,31.62,Oeste,San Luis Potosí,Catálogo,Nuevo,Tarjeta Crédito,False,18.0,2.4,3.7,5.6,11,19,2,17.2,1,2,TXN000020
2023-08-03,2023,8,3,4,3,Libros y Medios,Textbooks,609.24,5,33.19,407.06,2035.29,1827.72,207.57,10.2,Sureste,León,Catálogo,Regular,Efectivo,False,39.0,2.8,3.1,3.1,9,14,3,2.0,0,2,TXN000021
2021-06-07,2021,6,2,1,7,Hogar y Jardín,Limpieza,453.53,5,30.14,316.82,1584.09,1360.6,223.48,14.11,Oeste,Tijuana,Online,Regular,Efectivo,False,79.0,4.8,6.9,4.3,6,14,5,54.1,2,7,TXN000022
2023-02-05,2023,2,1,7,5,Libros y Medios,No Ficción,345.97,6,30.76,239.53,1437.19,1245.48,191.71,13.34,Noreste,Ciudad de México,Tienda Física,Estudiante,Tarjeta Crédito,False,18.0,3.8,3.1,,11,14,3,1.2,1,6,TXN000023
2022-11-09,2022,11,4,3,9,Ropa y Accesorios,Hombre,306.7,4,23.18,235.59,942.37,490.72,451.66,47.93,Este,Guadalajara,Online,VIP,PayPal,True,91.0,5.0,7.3,4.9,5,20,6,7.8,8,6,TXN000024
2021-06-18,2021,6,2,5,18,Ropa y Accesorios,Mujer,424.16,1,55.21,189.99,189.99,169.66,20.32,10.7,Noroeste,León,Tienda Física,Nuevo,Tarjeta Débito,False,61.0,4.5,1.2,4.9,10,7,7,1.7,3,1,TXN000025
2023-12-24,2023,12,4,7,24,Ropa y Accesorios,Joyería,551.91,3,21.54,433.02,1299.06,662.29,636.77,49.02,Centro,León,Catálogo,Nuevo,Tarjeta Crédito,True,22.0,3.7,3.0,4.6,11,11,3,0.5,4,2,TXN000026
2021-03-30,2021,3,1,2,30,Electrónicos,Cámaras,1638.35,3,13.45,1417.98,4253.93,3440.53,813.39,19.12,Norte,Querétaro,Marketplace,Nuevo,PayPal,False,32.0,3.1,9.5,4.0,6,13,2,0.8,0,3,TXN000027
2020-05-01,2020,5,2,5,1,Ropa y Accesorios,Mujer,479.34,5,40.06,287.33,1436.67,958.68,477.98,33.27,Este,San Luis Potosí,Marketplace,Nuevo,Tarjeta Crédito,False,37.0,4.4,5.7,4.8,11,6,1,26.5,2,2,TXN000028
2021-03-20,2021,3,1,6,20,Salud y Belleza,Skincare,190.31,7,24.72,143.27,1002.89,399.66,603.22,60.15,Sur,Monterrey,Tienda Física,Estudiante,Tarjeta Débito,False,35.0,5.0,6.9,5.0,8,12,4,4.5,2,4,TXN000029
2020-10-27,2020,10,4,2,27,Automóviles,Neumáticos,1730.7,4,22.96,1333.28,5333.12,4499.82,833.3,15.62,Centro,Torreón,Marketplace,VIP,Transferencia,False,18.0,,8.9,4.3,5,17,2,2.7,3,2,TXN000030
2020-08-04,2020,8,3,2,4,Ropa y Accesorios,Joyería,600.04,3,39.35,363.92,1091.75,720.05,371.7,34.05,Sureste,Juárez,Telefónico,Regular,PayPal,False,18.0,3.5,14.3,4.2,9,17,3,94.5,4,6,TXN000031
2022-09-27,2022,9,3,2,27,Automóviles,Neumáticos,3492.97,4,23.87,2659.37,10637.46,9081.73,1555.73,14.63,Sur,Guadalajara,Marketplace,Premium,PayPal,False,129.0,5.0,2.3,4.4,9,14,7,77.3,2,3,TXN000032
2022-08-21,2022,8,3,7,21,Juguetes,Electrónicos,120.48,5,7.7,111.2,555.99,271.08,284.91,51.24,Sur,Puebla,Online,VIP,Tarjeta Crédito,False,29.0,5.0,6.1,4.5,1,17,5,59.1,2,7,TXN000033
2020-08-29,2020,8,3,6,29,Salud y Belleza,Skincare,17.5,3,19.17,14.14,42.43,15.75,26.68,62.88,Este,Juárez,Online,Premium,Tarjeta Crédito,False,21.0,2.4,12.9,4.8,7,17,4,14.6,2,5,TXN000034
2020-02-27,2020,2,1,4,27,Hogar y Jardín,Decoración,1467.8,2,19.68,1178.94,2357.87,1761.37,596.51,25.3,Oeste,Monterrey,Catálogo,Estudiante,Transferencia,False,18.0,3.7,2.9,4.7,8,7,3,10.6,1,5,TXN000035
2021-02-09,2021,2,1,2,9,Hogar y Jardín,Jardín,858.16,3,9.27,778.58,2335.74,1544.68,791.06,33.87,Este,Puebla,Online,Regular,Tarjeta Débito,True,50.0,4.0,7.3,,10,13,1,3.6,4,3,TXN000036
2021-01-24,2021,1,1,7,24,Juguetes,Electrónicos,302.89,3,9.53,274.03,822.08,408.9,413.18,50.26,Noreste,Juárez,Telefónico,VIP,Tarjeta Crédito,True,31.0,2.5,,4.3,9,13,4,13.5,1,3,TXN000037
2023-12-17,2023,12,4,7,17,Salud y Belleza,Skincare,250.59,4,18.83,203.4,813.59,300.71,512.88,63.04,Noroeste,Puebla,Catálogo,Estudiante,Tarjeta Débito,False,18.0,3.5,4.8,5.2,11,17,4,18.3,1,3,TXN000038
2020-03-27,2020,3,1,5,27,Hogar y Jardín,Muebles,249.15,4,31.89,169.69,678.77,597.95,80.82,11.91,Este,Puebla,Tienda Física,Premium,Tarjeta Crédito,False,18.0,4.5,10.9,4.2,8,10,3,11.8,2,5,TXN000039
2020-05-01,2020,5,2,5,1,Juguetes,Educativos,441.61,6,38.76,270.46,1622.76,1192.34,430.41,26.52,Sureste,León,Catálogo,Nuevo,Efectivo,False,21.0,4.3,2.3,4.2,10,12,3,40.2,1,4,TXN000040
2022-11-02,2022,11,4,3,2,Electrónicos,Cámaras,2803.92,2,29.99,1962.9,3925.8,3925.49,0.31,0.01,Centro,León,Tienda Física,Estudiante,Efectivo,False,72.0,4.5,1.9,4.6,4,20,3,30.3,0,4,TXN000041
2022-07-03,2022,7,3,7,3,Electrónicos,Auriculares,1092.35,5,39.35,662.52,3312.61,3823.24,-510.63,-15.41,Oeste,León,Online,VIP,PayPal,False,30.0,4.5,7.4,4.4,10,13,6,58.6,2,2,TXN000042
2023-10-19,2023,10,4,4,19,Deportes,Fitness,89.25,3,17.8,73.37,220.11,133.88,86.23,39.18,Noreste,Puebla,Tienda Física,Regular,Tarjeta Débito,False,28.0,3.8,5.3,3.8,8,20,6,32.3,1,5,TXN000043
2021-09-20,2021,9,3,1,20,Deportes,Fútbol,406.22,4,6.18,381.1,1524.42,812.44,711.98,46.71,Sur,Monterrey,Online,Estudiante,Transferencia,False,64.0,2.6,4.7,4.2,6,13,6,15.0,2,2,TXN000044
2022-12-03,2022,12,4,6,3,Electrónicos,Laptops,669.31,4,56.51,291.1,1164.4,1874.07,-709.66,-60.95,Oeste,Monterrey,Tienda Física,Nuevo,Tarjeta Débito,True,109.0,4.9,2.2,4.3,7,20,5,32.3,4,3,TXN000045
2022-07-18,2022,7,3,1,18,Ropa y Accesorios,Joyería,948.99,6,32.31,642.36,3854.13,2277.58,1576.56,40.91,Norte,Guadalajara,Marketplace,Regular,PayPal,True,68.0,4.2,2.3,4.9,9,11,4,29.6,2,1,TXN000046
2022-08-06,2022,8,3,6,6,Libros y Medios,eBooks,562.89,8,22.16,438.14,3505.14,2701.89,803.25,22.92,Noreste,Monterrey,Tienda Física,Nuevo,PayPal,False,60.0,3.6,5.0,4.6,7,17,2,0.3,2,4,TXN000047
2020-03-08,2020,3,1,7,8,Deportes,Fútbol,518.8,4,31.84,353.6,1414.42,1037.61,376.81,26.64,Centro,Ciudad de México,Marketplace,Estudiante,Transferencia,False,18.0,4.0,6.5,4.5,7,19,3,38.6,2,5,TXN000048
2021-07-26,2021,7,3,1,26,Deportes,Fútbol,285.41,5,16.41,238.57,1192.83,713.52,479.31,40.18,Centro,San Luis Potosí,Online,Nuevo,Tarjeta Crédito,True,139.0,3.7,4.1,3.7,9,14,6,77.6,1,2,TXN000049
2022-10-01,2022,10,4,6,1,Automóviles,Accesorios,856.9,3,2.44,835.97,2507.91,1670.95,836.96,33.37,Sureste,San Luis Potosí,Online,Regular,PayPal,False,30.0,3.6,11.0,5.0,8,12,2,3.3,3,5,TXN000050
2022-11-19,2022,11,4,6,19,Deportes,Natación,489.12,5,17.93,401.41,2007.07,1222.79,784.28,39.08,Oeste,San Luis Potosí,Online,VIP,Tarjeta Débito,True,72.0,2.6,4.7,3.4,6,17,2,17.6,2,1,TXN000051
2021-03-23,2021,3,1,2,23,Hogar y Jardín,Decoración,1132.5,2,7.51,1047.47,2094.95,1359.0,735.94,35.13,Norte,Ciudad de México,Tienda Física,Estudiante,Transferencia,False,23.0,2.0,3.9,3.7,9,15,4,21.9,2,4,TXN000052
2023-05-22,2023,5,2,1,22,Electrónicos,Laptops,3762.15,5,38.89,2299.18,11495.92,13167.52,-1671.6,-14.54,Sur,Ciudad de México,Catálogo,Nuevo,PayPal,False,18.0,3.8,5.6,3.7,13,16,4,0.1,2,3,TXN000053
2022-07-31,2022,7,3,7,31,Libros y Medios,Música,213.03,1,44.75,117.69,117.69,127.82,-10.13,-8.61,Este,Juárez,Tienda Física,Nuevo,Tarjeta Crédito,False,24.0,3.4,9.1,4.5,3,17,5,9.1,4,4,TXN000054
2020-06-10,2020,6,2,3,10,Ropa y Accesorios,Calzado,578.34,3,29.51,407.68,1223.04,694.01,529.04,43.26,Este,Querétaro,Telefónico,Premium,Tarjeta Crédito,True,29.0,4.5,2.2,4.6,10,21,4,32.0,1,2,TXN000055
2023-03-23,2023,3,1,4,23,Ropa y Accesorios,Hombre,899.12,2,58.38,374.24,748.48,719.3,29.19,3.9,Sur,Torreón,Catálogo,VIP,PayPal,False,18.0,3.3,4.8,4.8,6,11,7,38.1,1,5,TXN000056
2020-08-14,2020,8,3,5,14,Deportes,Fitness,764.75,5,23.8,582.73,2913.65,1911.88,1001.77,34.38,Oeste,León,Catálogo,Premium,Transferencia,True,59.0,3.3,9.9,4.8,9,18,5,12.7,2,2,TXN000057
2020-06-23,2020,6,2,2,23,Libros y Medios,Ficción,303.44,2,36.17,193.69,387.37,364.12,23.25,6.0,Este,León,Marketplace,Nuevo,Transferencia,True,66.0,2.9,6.6,4.9,11,17,7,8.1,3,7,TXN000058
2021-11-16,2021,11,4,2,16,Ropa y Accesorios,Mujer,321.71,5,53.49,149.63,748.13,643.42,104.71,14.0,Centro,Ciudad de México,Telefónico,Premium,PayPal,False,20.0,3.5,3.1,4.5,11,11,8,31.7,2,4,TXN000059
2020-05-16,2020,5,2,6,16,Salud y Belleza,Maquillaje,328.97,4,10.94,292.96,1171.86,394.76,777.1,66.31,Sur,Monterrey,Catálogo,VIP,Transferencia,False,18.0,2.8,26.8,3.3,11,22,3,0.9,2,7,TXN000060
2021-11-30,2021,11,4,2,30,Automóviles,Herramientas,860.54,3,33.63,571.15,1713.44,1678.06,35.38,2.06,Este,Puebla,Marketplace,Regular,Efectivo,True,18.0,,8.0,4.6,5,10,1,13.5,1,4,TXN000061
2021-01-18,2021,1,1,1,18,Hogar y Jardín,Jardín,1118.66,5,11.71,987.7,4938.5,3355.98,1582.52,32.04,Noroeste,Juárez,Catálogo,Regular,Tarjeta Débito,False,23.0,2.9,6.2,5.1,5,16,6,4.3,1,3,TXN000062
2021-05-23,2021,5,2,7,23,Libros y Medios,Ficción,375.16,6,11.46,332.18,1993.06,1350.58,642.49,32.24,Este,Torreón,Tienda Física,Regular,Tarjeta Crédito,True,54.0,4.1,8.6,4.2,9,19,3,4.3,1,6,TXN000063
2022-10-11,2022,10,4,2,11,Hogar y Jardín,Cocina,697.63,2,2.9,677.4,1354.81,837.16,517.65,38.21,Este,León,Telefónico,Estudiante,PayPal,True,18.0,4.4,3.4,4.1,9,12,3,18.3,2,5,TXN000064
2023-05-12,2023,5,2,5,12,Automóviles,Neumáticos,1334.09,4,49.72,670.81,2683.24,3468.64,-785.4,-29.27,Este,San Luis Potosí,Telefónico,Premium,Tarjeta Crédito,True,18.0,4.4,3.0,4.7,2,11,5,37.0,2,6,TXN000065
2023-01-01,2023,1,1,7,1,Salud y Belleza,Maquillaje,770.62,5,20.23,614.72,3073.61,1155.93,1917.67,62.39,Noroeste,Puebla,Tienda Física,Premium,Tarjeta Crédito,False,41.0,2.8,9.6,4.5,4,11,5,17.0,2,4,TXN000066
2021-05-08,2021,5,2,6,8,Ropa y Accesorios,Hombre,749.3,5,63.89,270.58,1352.89,1498.6,-145.71,-10.77,Sur,León,Telefónico,Nuevo,Tarjeta Débito,False,55.0,5.0,3.2,3.8,8,8,5,8.5,1,4,TXN000067
2020-02-21,2020,2,1,5,21,Juguetes,Educativos,292.59,5,11.62,258.61,1293.03,658.33,634.69,49.09,Noroeste,Tijuana,Online,Estudiante,Transferencia,True,42.0,1.8,4.2,5.2,3,18,3,0.5,2,2,TXN000068
2022-07-20,2022,7,3,3,20,Ropa y Accesorios,Hombre,377.3,3,20.14,301.32,903.95,452.76,451.19,49.91,Sur,León,Tienda Física,Premium,Tarjeta Débito,True,34.0,4.3,8.4,4.2,15,18,5,8.4,3,2,TXN000069
2022-07-30,2022,7,3,6,30,Libros y Medios,Ficción,701.29,3,11.21,622.68,1868.03,1262.33,605.7,32.42,Noreste,León,Tienda Física,Nuevo,Transferencia,False,39.0,3.1,1.3,4.6,5,17,1,40.8,2,7,TXN000070
2021-04-29,2021,4,2,4,29,Hogar y Jardín,Jardín,269.61,10,31.82,183.83,1838.31,1617.65,220.66,12.0,Este,Ciudad de México,Catálogo,Regular,Tarjeta Débito,False,64.0,3.4,3.4,4.1,11,17,2,43.1,5,3,TXN000071
2022-06-11,2022,6,2,6,11,Salud y Belleza,Suplementos,93.58,5,38.76,57.31,286.54,140.37,146.16,51.01,Noroeste,Ciudad de México,Telefónico,Nuevo,Transferencia,True,40.0,3.7,18.0,3.5,5,21,2,17.9,0,5,TXN000072
2021-01-17,2021,1,1,7,17,Hogar y Jardín,Cocina,240.38,5,46.45,128.71,643.57,721.14,-77.57,-12.05,Centro,Juárez,Marketplace,Regular,PayPal,False,18.0,4.6,3.2,4.2,9,11,9,4.2,3,3,TXN000073
2022-10-28,2022,10,4,5,28,Salud y Belleza,Maquillaje,75.3,8,6.57,70.36,562.86,180.73,382.13,67.89,Oeste,Ciudad de México,Telefónico,Regular,Efectivo,True,41.0,3.6,3.1,3.0,4,15,2,4.0,4,4,TXN000074
2022-12-19,2022,12,4,1,19,Ropa y Accesorios,Calzado,1653.19,3,20.78,1309.73,3929.2,1983.82,1945.37,49.51,Noreste,Juárez,Tienda Física,Premium,Tarjeta Crédito,False,18.0,4.0,6.4,3.1,10,21,4,16.5,3,4,TXN000075
2022-05-26,2022,5,2,4,26,Electrónicos,Smartphones,906.16,5,6.85,844.13,4220.66,3171.56,1049.1,24.86,Noreste,Torreón,Catálogo,Premium,PayPal,False,18.0,3.7,3.7,4.7,8,15,5,11.8,1,3,TXN000076
2023-09-13,2023,9,3,3,13,Ropa y Accesorios,Niños,381.98,4,42.19,220.83,883.31,611.17,272.14,30.81,Noroeste,Querétaro,Telefónico,VIP,Tarjeta Débito,False,74.0,3.7,5.8,2.9,11,17,2,21.0,2,7,TXN000077
2023-06-10,2023,6,2,6,10,Electrónicos,Auriculares,228.95,2,15.58,193.29,386.58,320.53,66.04,17.08,Sur,Puebla,Catálogo,Regular,Efectivo,False,70.0,4.6,12.8,4.7,6,11,3,4.4,1,5,TXN000078
2022-09-28,2022,9,3,3,28,Electrónicos,Laptops,3286.82,2,30.55,2282.58,4565.15,4601.55,-36.39,-0.8,Sur,Querétaro,Tienda Física,Regular,PayPal,False,71.0,4.2,10.0,3.5,8,16,2,19.8,5,5,TXN000079
2022-10-05,2022,10,4,3,5,Juguetes,Muñecas,264.81,4,12.37,232.05,928.19,476.66,451.53,48.65,Noroeste,León,Tienda Física,VIP,Tarjeta Débito,False,51.0,2.7,5.6,3.8,3,16,4,56.6,1,2,TXN000080
2021-10-18,2021,10,4,1,18,Libros y Medios,Ficción,355.99,4,33.16,237.93,951.71,854.37,97.34,10.23,Centro,Guadalajara,Tienda Física,Regular,Transferencia,True,21.0,4.2,1.2,3.7,8,13,6,2.8,2,2,TXN000081
2022-03-18,2022,3,1,5,18,Hogar y Jardín,Jardín,539.36,2,13.42,466.95,933.9,647.23,286.67,30.7,Noreste,Guadalajara,Marketplace,Nuevo,Efectivo,True,18.0,3.0,14.8,4.4,4,18,4,58.0,2,5,TXN000082
2022-09-05,2022,9,3,1,5,Salud y Belleza,Suplementos,225.75,3,17.68,185.84,557.51,203.17,354.34,63.56,Noroeste,Querétaro,Telefónico,VIP,Tarjeta Débito,False,70.0,,2.4,4.0,5,17,2,0.6,2,5,TXN000083
2023-09-16,2023,9,3,6,16,Juguetes,Educativos,94.87,6,5.4,89.74,538.45,256.14,282.31,52.43,Noreste,Puebla,Catálogo,Estudiante,Efectivo,False,35.0,2.9,3.9,3.9,4,12,8,5.8,3,3,TXN000084
2023-03-15,2023,3,1,3,15,Salud y Belleza,Perfumes,39.68,4,23.53,30.34,121.37,47.62,73.75,60.77,Noreste,León,Telefónico,Regular,Transferencia,True,43.0,3.2,5.7,4.0,13,16,6,0.4,1,5,TXN000085
2023-11-10,2023,11,4,5,10,Ropa y Accesorios,Calzado,565.7,5,32.14,383.89,1919.46,1131.4,788.06,41.06,Sur,Querétaro,Online,Regular,Efectivo,True,18.0,5.0,2.6,4.7,6,16,2,24.4,5,6,TXN000086
2023-09-25,2023,9,3,1,25,Salud y Belleza,Cuidado Personal,46.1,3,19.47,37.12,111.36,41.49,69.87,62.74,Sureste,Tijuana,Tienda Física,VIP,Efectivo,False,40.0,4.4,10.1,4.9,6,9,4,32.6,1,1,TXN000087
2023-08-03,2023,8,3,4,3,Hogar y Jardín,Muebles,1517.8,2,32.74,1020.85,2041.71,1821.36,220.35,10.79,Noreste,Monterrey,Marketplace,VIP,PayPal,False,23.0,2.4,11.4,2.7,9,16,7,0.7,1,4,TXN000088
2022-05-07,2022,5,2,6,7,Juguetes,Muñecas,1333.25,2,7.81,1229.13,2458.27,1199.92,1258.35,51.19,Sur,Monterrey,Catálogo,Nuevo,Transferencia,False,134.0,5.0,5.3,3.7,7,13,5,35.3,3,4,TXN000089
2022-12-13,2022,12,4,2,13,Salud y Belleza,Suplementos,618.85,2,8.33,567.31,1134.61,371.31,763.31,67.27,Centro,Juárez,Tienda Física,Premium,Tarjeta Débito,False,30.0,4.3,11.6,3.7,6,20,3,24.2,2,2,TXN000090
2022-07-08,2022,7,3,5,8,Hogar y Jardín,Jardín,245.82,4,10.86,219.13,876.52,589.97,286.55,32.69,Noreste,Puebla,Catálogo,Regular,Tarjeta Débito,False,18.0,3.9,11.8,4.3,6,15,6,101.2,0,3,TXN000091
2020-09-27,2020,9,3,7,27,Ropa y Accesorios,Calzado,616.91,2,50.84,303.26,606.52,493.53,112.99,18.63,Norte,León,Marketplace,Regular,Tarjeta Crédito,False,24.0,4.4,1.7,4.2,4,14,2,42.8,4,3,TXN000092
2023-11-11,2023,11,4,6,11,Hogar y Jardín,Decoración,336.89,4,6.25,315.83,1263.31,808.52,454.78,36.0,Centro,Juárez,Online,Regular,Tarjeta Crédito,False,18.0,4.9,11.0,4.2,11,17,1,65.8,0,3,TXN000093
2023-01-20,2023,1,1,5,20,Hogar y Jardín,Cocina,950.15,4,16.0,798.1,3192.39,2280.35,912.04,28.57,Sur,Guadalajara,Tienda Física,Premium,PayPal,False,18.0,3.5,2.8,4.3,9,11,4,1.8,3,5,TXN000094
2021-06-23,2021,6,2,3,23,Juguetes,Muñecas,118.92,7,26.76,87.1,609.71,374.61,235.1,38.56,Sur,Torreón,Marketplace,Nuevo,Tarjeta Débito,False,18.0,3.9,2.2,3.8,8,21,3,13.4,2,2,TXN000095
2022-02-09,2022,2,1,3,9,Automóviles,Limpieza,973.02,3,49.3,493.33,1479.98,1897.38,-417.4,-28.2,Norte,Monterrey,Marketplace,Premium,Tarjeta Débito,False,64.0,4.1,4.2,4.3,8,18,1,11.2,3,3,TXN000096
2022-12-28,2022,12,4,3,28,Automóviles,Limpieza,3317.47,6,29.1,2352.24,14113.44,12938.13,1175.3,8.33,Oeste,Puebla,Catálogo,Regular,Transferencia,False,46.0,4.3,10.0,4.5,11,13,4,7.8,3,6,TXN000097
2021-04-11,2021,4,2,7,11,Electrónicos,Smartphones,1440.52,3,14.58,1230.55,3691.65,3025.09,666.56,18.06,Centro,San Luis Potosí,Tienda Física,Nuevo,Tarjeta Débito,False,42.0,4.1,2.4,4.1,2,14,5,38.2,3,7,TXN000098
2022-08-24,2022,8,3,3,24,Deportes,Fitness,492.82,4,31.1,339.56,1358.23,985.63,372.6,27.43,Noreste,León,Tienda Física,Nuevo,Tarjeta Débito,False,54.0,3.4,4.1,3.4,6,13,5,17.7,2,2,TXN000099
2023-01-22,2023,1,1,7,22,Salud y Belleza,Perfumes,437.23,5,4.34,418.27,2091.37,655.85,1435.52,68.64,Noroeste,Tijuana,Telefónico,Regular,Tarjeta Crédito,False,62.0,2.2,4.0,4.1,11,12,6,6.6,2,2,TXN000100
2020-04-22,2020,4,2,3,22,Salud y Belleza,Suplementos,270.57,2,41.24,158.99,317.99,162.34,155.65,48.95,Norte,Tijuana,Online,Regular,Tarjeta Crédito,False,33.0,3.3,5.9,4.6,2,13,2,5.2,2,5,TXN000101
2021-09-01,2021,9,3,3,1,Electrónicos,Laptops,787.43,3,28.18,565.56,1696.69,1653.6,43.09,2.54,Norte,León,Telefónico,Regular,Transferencia,True,47.0,,5.1,4.0,11,17,6,19.8,0,3,TXN000102
2023-12-04,2023,12,4,1,4,Salud y Belleza,Perfumes,438.28,6,19.58,352.48,2114.9,788.9,1326.0,62.7,Sur,Querétaro,Tienda Física,Premium,Efectivo,False,79.0,4.8,6.1,4.8,6,12,6,15.8,2,4,TXN000103
2021-03-22,2021,3,1,1,22,Ropa y Accesorios,Hombre,168.76,3,57.53,71.67,215.02,202.51,12.51,5.82,Norte,Torreón,Catálogo,Regular,PayPal,True,50.0,3.7,1.7,4.0,7,9,4,9.4,1,3,TXN000104
